id,income-2021
9330001.01,89000
9330001.02,95000
9330002.01,88000
9330002.03,91000
9330002.04,95000
9330003.01,94000
9330003.02,91000
9330004.01,69500
9330004.02,90000
9330005.00,57200
9330006.01,87000
9330006.02,75000
9330007.01,83000
9330007.02,100000
9330008.01,108000
9330008.02,143000
9330009.00,75000
9330010.01,77000
9330010.02,96000
9330011.00,86000
9330012.01,99000
9330012.02,91000
9330013.01,81000
9330013.03,87000
9330013.04,90000
9330014.01,81000
9330014.02,68500
9330015.01,93000
9330015.02,83000
9330016.01,76000
9330016.04,84000
9330016.05,79000
9330016.06,74000
9330017.02,86000
9330017.03,85000
9330017.04,87000
9330018.01,83000
9330018.02,95000
9330019.00,91000
9330020.00,94000
9330021.00,166000
9330022.00,71000
9330023.00,127000
9330024.00,123000
9330025.00,108000
9330026.00,98000
9330027.01,101000
9330027.02,91000
9330028.00,105000
9330029.00,99000
9330030.00,108000
9330031.01,106000
9330031.02,107000
9330032.01,94000
9330032.02,90000
9330033.01,101000
9330033.02,92000
9330034.01,83000
9330034.02,91000
9330035.01,84000
9330035.02,81000
9330036.01,85000
9330036.02,93000
9330037.01,96000
9330037.02,83000
9330038.00,84000
9330039.01,84000
9330039.02,83000
9330040.01,64500
9330040.02,71000
9330041.01,78000
9330041.02,99000
9330042.00,100000
9330043.01,89000
9330043.02,113000
9330044.00,96000
9330045.01,104000
9330045.02,93000
9330046.00,78500
9330047.01,83000
9330047.02,79000
9330048.01,77500
9330048.02,96000
9330049.02,89000
9330049.03,110000
9330049.04,104000
9330049.05,89000
9330049.06,104000
9330050.02,64500
9330050.03,78500
9330050.04,61600
9330051.01,105000
9330051.02,83000
9330052.01,69000
9330052.02,88000
9330053.01,92000
9330053.02,90000
9330054.01,95000
9330054.02,97000
9330055.01,74000
9330055.02,65500
9330056.01,56800
9330056.02,76500
9330057.01,38800
9330057.02,52800
9330058.00,32000
9330059.07,101000
9330059.08,98000
9330059.09,69000
9330059.10,72000
9330059.11,84000
9330059.13,87000
