GeoUID,v_CA06_2000: Median household income $
9330163.07,65048.00
9330163.08,73939.00
9330170.03,36443.00
9330170.04,61412.00
9330170.05,39281.00
9330170.06,61291.00
9330180.01,120254.00
9330180.02,72245.00
9330181.01,55201.00
9330181.03,85673.00
9330181.04,74113.00
9330181.05,51379.00
9330181.06,60233.00
9330181.07,87049.00
9330181.08,86452.00
9330181.09,87899.00
9330182.01,83053.00
9330182.02,87338.00
9330182.03,81985.00
9330182.04,94885.00
9330182.05,80164.00
9330182.06,67083.00
9330183.01,73995.00
9330183.03,51684.00
9330183.04,76093.00
9330183.05,80959.00
9330183.06,57506.00
9330183.07,81225.00
9330184.01,78165.00
9330184.02,49618.00
9330184.05,67259.00
9330184.06,67072.00
9330184.07,53913.00
9330184.08,64112.00
9330184.09,75182.00
9330184.10,63905.00
9330184.11,77378.00
9330185.05,48348.00
9330185.06,76767.00
9330185.07,68981.00
9330185.08,95723.00
9330185.09,50253.00
9330185.10,53516.00
9330185.11,50611.00
9330185.12,68618.00
9330185.13,60124.00
9330185.14,51915.00
9330185.15,52407.00
9330185.16,53768.00
9330186.01,61305.00
9330186.02,50498.00
9330186.05,55915.00
9330186.06,55591.00
9330186.07,61857.00
9330186.08,54939.00
9330187.03,62934.00
9330187.04,48893.00
9330187.05,57898.00
9330187.06,63853.00
9330187.07,83012.00
9330187.09,64291.00
9330187.10,59728.00
9330187.11,58182.00
9330188.01,63130.00
9330188.02,69713.00
9330188.03,82325.00
9330188.04,76177.00
9330188.05,83913.00
9330188.06,83519.00
9330189.03,59609.00
9330189.05,40677.00
9330189.06,49730.00
9330189.07,50943.00
9330189.08,33142.00
9330189.09,59578.00
9330189.10,54942.00
9330190.01,42540.00
9330190.03,43435.00
9330190.04,55461.00
9330190.05,44209.00
9330191.02,39392.00
9330191.03,58221.00
9330191.04,39815.00
9330192.00,52501.00
9330200.00,66914.00
9330201.00,65885.00
9330202.00,53389.00
9330203.00,66629.00
9330204.01,42221.00
9330204.02,38930.00
9330205.01,35229.00
9330205.02,36795.00
9330206.00,46490.00
9330207.00,44907.00
9330208.00,55552.00
9330209.00,66826.00
9330210.00,50096.00
9330220.00,59203.00
9330221.01,75993.00
9330221.03,77690.00
9330221.04,58330.00
9330222.01,54977.00
9330222.02,57549.00
9330223.01,53525.00
9330223.02,42814.00
9330224.01,33878.00
9330224.02,28504.00
9330225.01,56603.00
9330225.02,46103.00
9330226.02,58383.00
9330226.03,33128.00
9330226.04,34465.00
9330227.01,28241.00
9330227.02,37927.00
9330228.02,63228.00
9330228.03,34242.00
9330228.04,40166.00
9330229.00,54772.00
9330230.01,78203.00
9330230.02,45010.00
9330231.00,64660.00
9330232.00,77665.00
9330233.00,60242.00
9330234.00,72681.00
9330235.02,60677.00
9330235.03,37161.00
9330235.04,41209.00
9330236.00,92951.00
9330237.00,49567.00
9330238.01,62168.00
9330238.02,54196.00
9330239.00,54127.00
9330240.01,51042.00
9330240.02,50448.00
9330241.00,54856.00
9330242.00,56072.00
9330243.01,55262.00
9330243.02,60439.00
9330250.01,72990.00
9330250.02,104316.00
9330251.00,0.00
9330260.02,59977.00
9330260.04,67703.00
9330260.05,65372.00
9330260.06,99324.00
9330260.07,71578.00
9330260.08,91462.00
9330270.00,x
9330280.00,88416.00
9330281.01,81548.00
9330281.02,59171.00
9330282.00,52820.00
9330283.00,46384.00
9330284.01,46395.00
9330284.02,55740.00
9330285.01,33714.00
9330285.02,77783.00
9330286.01,74893.00
9330286.02,73297.00
9330286.03,84563.00
9330287.01,64121.00
9330287.02,83761.00
9330287.06,41676.00
9330287.08,50839.00
9330287.09,38468.00
9330287.10,87123.00
9330287.11,71502.00
9330287.12,62794.00
9330287.13,48125.00
9330287.14,68896.00
9330290.02,43308.00
9330290.03,68894.00
9330290.04,91261.00
9330290.05,83412.00
9330291.01,53146.00
9330291.02,64294.00
9330292.01,81876.00
9330292.03,65074.00
9330292.04,70608.00
9330400.02,63445.00
9330400.03,78432.00
9330400.04,74787.00
9330401.01,50407.00
9330401.02,41224.00
9330402.01,52245.00
9330402.02,63005.00
9330403.01,63604.00
9330403.03,57850.00
9330403.04,72106.00
9330403.05,76396.00
9330404.01,75160.00
9330404.02,72502.00
9330410.02,57442.00
9330410.03,70812.00
9330410.04,66452.00
9330500.00,58959.00
9330501.01,58099.00
9330501.02,80202.00
9330501.03,74185.00
9330502.01,79034.00
9330502.02,58251.00
9330502.03,80365.00
9330502.05,64366.00
9330502.06,86509.00
9330502.07,68744.00
9330503.01,84567.00
9330503.03,75075.00
9330503.06,43699.00
9330503.07,25970.00
9330503.08,44350.00
9330503.09,42250.00
9330504.01,68242.00
9330504.03,79551.00
9330504.04,68496.00
9330504.05,77263.00
9330504.06,72470.00
9330505.00,76179.00
9330506.01,56495.00
9330506.02,55333.00
