GeoUID,v_CA06_2000: Median household income $
9330001.01,55179.00
9330001.02,57724.00
9330002.01,53029.00
9330002.02,56726.00
9330003.01,52873.00
9330003.02,53240.00
9330004.01,56607.00
9330004.02,54245.00
9330005.00,33810.00
9330006.01,49804.00
9330006.02,50894.00
9330007.01,64181.00
9330007.02,82915.00
9330008.01,57606.00
9330008.02,98658.00
9330009.00,49012.00
9330010.01,51091.00
9330010.02,57673.00
9330011.00,49346.00
9330012.00,55201.00
9330013.01,50199.00
9330013.02,49617.00
9330014.01,49988.00
9330014.02,38063.00
9330015.01,60918.00
9330015.02,46966.00
9330016.01,41546.00
9330016.03,39980.00
9330016.04,49520.00
9330017.01,48677.00
9330017.02,48279.00
9330018.01,48859.00
9330018.02,59304.00
9330019.00,51883.00
9330020.00,61741.00
9330021.00,149881.00
9330022.00,43225.00
9330023.00,84435.00
9330024.00,96959.00
9330025.00,79798.00
9330026.00,65355.00
9330027.00,59827.00
9330028.00,72405.00
9330029.00,61266.00
9330030.00,59820.00
9330031.01,61779.00
9330031.02,52381.00
9330032.00,49432.00
9330033.00,49367.00
9330034.01,48666.00
9330034.02,51670.00
9330035.01,45295.00
9330035.02,46632.00
9330036.01,53138.00
9330036.02,59462.00
9330037.01,45105.00
9330037.02,35243.00
9330038.00,37644.00
9330039.01,42493.00
9330039.02,55219.00
9330040.01,43287.00
9330040.02,44055.00
9330041.01,52243.00
9330041.02,59331.00
9330042.00,62950.00
9330043.01,68757.00
9330043.02,88419.00
9330044.00,74216.00
9330045.01,63288.00
9330045.02,59061.00
9330046.00,47896.00
9330047.01,50548.00
9330047.02,49605.00
9330048.00,48883.00
9330049.01,66384.00
9330049.02,57716.00
9330050.02,31110.00
9330050.03,34959.00
9330050.04,30424.00
9330051.00,48639.00
9330052.01,42903.00
9330052.02,53152.00
9330053.01,54211.00
9330053.02,47497.00
9330054.01,52703.00
9330054.02,57367.00
9330055.01,34665.00
9330055.02,36476.00
9330056.01,29295.00
9330056.02,39809.00
9330057.01,16477.00
9330057.02,25397.00
9330058.00,11433.00
9330059.03,65350.00
9330059.04,39780.00
9330059.05,53011.00
9330059.06,12016.00
9330060.01,41931.00
9330060.02,35009.00
9330061.00,40062.00
9330062.00,44782.00
9330063.00,38638.00
9330064.00,34688.00
9330065.00,36388.00
9330066.00,52147.00
9330067.00,39530.00
9330068.00,40935.00
9330069.00,36924.00
9330100.01,58090.00
9330100.02,55794.00
9330101.02,45139.00
9330101.03,42376.00
9330101.04,39388.00
9330102.00,56685.00
9330103.00,45032.00
9330104.00,63609.00
9330110.01,89921.00
9330110.02,89808.00
9330111.01,71315.00
9330111.02,84454.00
9330111.03,67596.00
9330112.00,60667.00
9330113.00,62653.00
9330114.00,88373.00
9330115.00,68137.00
9330116.00,87934.00
9330117.00,92962.00
9330118.00,54026.00
9330119.00,73545.00
9330120.00,87753.00
9330121.00,92790.00
9330122.00,103381.00
9330130.01,46991.00
9330130.03,42038.00
9330130.04,28637.00
9330131.00,90355.00
9330132.00,114046.00
9330133.01,96903.00
9330133.02,125465.00
9330134.00,89089.00
9330135.00,99726.00
9330140.02,71479.00
9330140.03,56131.00
9330140.04,72399.00
9330141.00,65332.00
9330142.01,75869.00
9330142.02,77294.00
9330142.03,52405.00
9330143.01,68309.00
9330143.02,44690.00
9330143.03,50201.00
9330143.04,62524.00
9330144.03,76516.00
9330144.04,48541.00
9330144.05,55091.00
9330144.06,66464.00
9330145.00,60031.00
9330146.00,64590.00
9330147.01,43684.00
9330147.04,42128.00
9330147.05,40598.00
9330147.06,42715.00
9330147.07,27038.00
9330147.08,40008.00
9330148.00,31464.00
9330149.02,63875.00
9330149.03,62852.00
9330149.04,55289.00
9330149.05,45752.00
9330150.00,85037.00
9330151.01,48163.00
9330151.03,56576.00
9330151.05,58506.00
9330151.06,51388.00
9330160.01,97121.00
9330160.02,70194.00
9330160.03,75740.00
9330160.04,58009.00
9330161.01,69936.00
9330161.02,60254.00
9330161.03,73161.00
9330161.05,71441.00
9330161.06,75908.00
9330162.01,80553.00
9330162.02,80719.00
9330162.03,54240.00
9330162.04,96999.00
9330163.01,87107.00
9330163.04,78050.00
9330163.05,63950.00
9330163.06,60338.00
