GeoUID,v_CA01_1634: Median household income $
9330400.01,66693
9330400.02,62276
9330401.01,41390
9330401.02,39036
9330402.01,46031
9330402.02,57813
9330403.01,53349
9330403.03,56007
9330403.04,63317
9330403.05,61129
9330404.00,66942
9330410.02,55484
9330410.03,59213
9330410.04,56542
9330500.00,51849
9330501.01,48076
9330501.02,68643
9330501.03,59997
9330502.01,68178
9330502.02,50806
9330502.03,69249
9330502.04,66678
9330502.05,62461
9330503.01,73135
9330503.03,67308
9330503.04,38037
9330503.05,29271
9330504.01,58104
9330504.02,68241
9330504.03,71681
9330504.04,67239
9330505.00,61059
9330506.01,51694
9330506.02,51535
